Timestamp,TA46-0154 Building Electric Meter -2 Real Power Phase C,TA46-0154 Building Electric Meter -2 Voltage Phase A-N,TA46-0154 Building Electric Meter -1 cumulative energy register 1,TA46-0154 Building Electric Meter -2 Reactive Power Phase C,"TA46-0154 Building Electric Meter -2 Total Real Power ",TA46-0154 Building Electric Meter -2 Voltage Phase B-N,TA46-0154 Building Electric Meter -1 Real Power Phase A,TA46-0154 Building Electric Meter -1 Cumulative Energy,TA46-0154 Building Electric Meter -1 cached Consumption,TA46-0154 Building Electric Meter -2 energy imported,TA46-0154 Building Electric Meter -1 Real Power Phase B,TA46-0154 Building Electric Meter -1 energy imported,TA46-0154 Building Electric Meter -1 Reactive Power Phase B,TA46-0154 Virtual Meters Total HVAC Power,TA46-0154 Building Electric Meter -2 cached Consumption,TA46-0154 Building Electric Meter -2 Real Power Phase A,TA46-0154 Building Electric Meter -1 Voltage Phase B-N,TA46-0154 Building Electric Meter -1 Voltage Phase C-N,TA46-0154 Building Electric Meter -2 Real Power Phase B,TA46-0154 Building Electric Meter -2 Voltage Phase C-N,TA46-0154 Building Electric Meter -1 Voltage Phase A-N,TA46-0154 Building Electric Meter -1 Reactive Power Phase A,"TA46-0154 Building Electric Meter -1 Total Real Power ",TA46-0154 Building Electric Meter -2 cumulative elec energy,TA46-0154 Building Electric Meter -2 Reactive Power Phase A,TA46-0154 Building Electric Meter -1 Reactive Power Phase C,TA46-0154 Building Electric Meter -2 Consumption,TA46-0154 Building Electric Meter -1 Real Power Phase C,TA46-0154 Building Electric Meter -1 Consumption,TA46-0154 Building Electric Meter -2 Reactive Power Phase B
2021-05-23T11:00:00-06:00 Denver,"","","","","","","","","","","","","",78.01023748kW,"","","","","","","","","","","","","","",34kWh,""
2021-05-23T11:05:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T11:10:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T11:15:00-06:00 Denver,"","","","","","","","","","","","","",77.99176159294366kW,"","","","","","","","","","","","","","","",""
2021-05-23T11:20:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T11:25:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-23T11:30:00-06:00 Denver,"","","","","","","","","","","","","",72.90401946kW,"","","","","","","","","","","","","","","",""
2021-05-23T11:35:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T11:40:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-23T11:45:00-06:00 Denver,"","","","","","","","","","","","","",73.25514706717675kW,"","","","","","","","","","","","","","","",""
2021-05-23T11:50:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T11:55:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-23T12:00:00-06:00 Denver,"","","","","","","","","","","","","",85.54546326kW,"","","","","","","","","","","","","","",35kWh,""
2021-05-23T12:05:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-23T12:10:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T12:15:00-06:00 Denver,"","","","","","","","","","","","","",73.67315504006021kW,"","","","","","","","","","","","","","","",""
2021-05-23T12:20:00-06:00 Denver,"","","","","","","","","","","","","",15.051840000000002kW,"","","","","","","","","","","","","","","",""
2021-05-23T12:25:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T12:30:00-06:00 Denver,"","","","","","","","","","","","","",79.08632913158057kW,"","","","","","","","","","","","","","","",""
2021-05-23T12:35:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T12:40:00-06:00 Denver,"","","","","","","","","","","","","",9.6674kW,"","","","","","","","","","","","","","","",""
2021-05-23T12:45:00-06:00 Denver,"","","","","","","","","","","","","",79.19423823149405kW,"","","","","","","","","","","","","","","",""
